File,,Product image(%Of-File),Product image(%Of-Feature),Product image(#Propagations),Filter product(%Of-File),Filter product(%Of-Feature),Filter product(#Propagations),View informations(%Of-File),View informations(%Of-Feature),View informations(#Propagations),View product(%Of-File),View product(%Of-Feature),View product(#Propagations),Customer account informations(%Of-File),Customer account informations(%Of-Feature),Customer account informations(#Propagations),Manage Cart(%Of-File),Manage Cart(%Of-Feature),Manage Cart(#Propagations),Register(%Of-File),Register(%Of-Feature),Register(#Propagations),Credit Card(%Of-File),Credit Card(%Of-Feature),Credit Card(#Propagations),Choose order modalities(%Of-File),Choose order modalities(%Of-Feature),Choose order modalities(#Propagations),Proceed payement(%Of-File),Proceed payement(%Of-Feature),Proceed payement(#Propagations),Browse Catalog(%Of-File),Browse Catalog(%Of-Feature),Browse Catalog(#Propagations),Save for later(%Of-File),Save for later(%Of-Feature),Save for later(#Propagations),Get informed(%Of-File),Get informed(%Of-Feature),Get informed(#Propagations),PayPal(%Of-File),PayPal(%Of-Feature),PayPal(#Propagations),Purchase product(%Of-File),Purchase product(%Of-Feature),Purchase product(#Propagations),Manage account as customer(%Of-File),Manage account as customer(%Of-Feature),Manage account as customer(#Propagations),Feedback(%Of-File),Feedback(%Of-Feature),Feedback(#Propagations),Get support(%Of-File),Get support(%Of-Feature),Get support(#Propagations),Share product(%Of-File),Share product(%Of-Feature),Share product(#Propagations),Product informations(%Of-File),Product informations(%Of-Feature),Product informations(#Propagations),Customer choose language(%Of-File),Customer choose language(%Of-Feature),Customer choose language(#Propagations),Browse categories(%Of-File),Browse categories(%Of-Feature),Browse categories(#Propagations),Login(%Of-File),Login(%Of-Feature),Login(#Propagations),Site(%Of-File),Site(%Of-Feature),Site(#Propagations)
DemoSite\site\src\main\resources\webTemplates\account\partials\accountMenu.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\resources\webTemplates\account\partials\customerAddress.html,,0,0,0,0,0,0,0,0,0,0,0,0,100,7.6923076923076925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\resources\webTemplates\account\partials\orderDetails.html,,0,0,0,0,0,0,0,0,0,0,0,0,100,7.6923076923076925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\resources\webTemplates\account\partials\savedPaymentForm.html,,0,0,0,0,0,0,0,0,0,0,0,0,100,7.6923076923076925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\resources\webTemplates\account\partials\wishlistItemsRow.html,,0,0,0,0,0,0,0,0,0,0,0,0,100,7.6923076923076925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\resources\webTemplates\account\changePassword.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,9.090909090909092,1,0,0,0
DemoSite\site\src\main\resources\webTemplates\account\credit.html,,0,0,0,0,0,0,0,0,0,0,0,0,100,7.6923076923076925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\resources\webTemplates\account\manageCustomerAddresses.html,,0,0,0,0,0,0,0,0,0,0,0,0,100,7.6923076923076925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\resources\webTemplates\account\manageCustomerPayments.html,,0,0,0,0,0,0,0,0,0,0,0,0,100,7.6923076923076925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DemoSite\site\src\main\resources\webTemplates\account\manageWishlist.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
